area Name,area type,year,variable,value
Watha,Municipality,1980,High School Graduates White Age 25 Up,37.0
Kinston,Municipality,2000,High School Graduates White Age 25 Up,5475.0
Hertford,Municipality,2010,High School Graduates White Age 25 Up,683.0
Simpson,Municipality,1980,High School Graduates White Age 25 Up,28.0
Dobson Township,Township,1990,High School Graduates White Age 25 Up,2527.0
Tract 26.01,Tract,1990,High School Graduates White Age 25 Up,1750.0
Middleburg-Nutbush,Township,1990,High School Graduates White Age 25 Up,728.0
North Fork Township,Township,1990,High School Graduates White Age 25 Up,59.0
Tract 606,Tract,1990,High School Graduates White Age 25 Up,1536.0
Gardners Township,Township,1990,High School Graduates White Age 25 Up,666.0
Monroe,Municipality,2000,High School Graduates White Age 25 Up,7879.0
Tract 217,Tract,1990,High School Graduates White Age 25 Up,2774.0
Middleburg,Municipality,1990,High School Graduates White Age 25 Up,30.0
Caldwell Township,Township,1990,High School Graduates White Age 25 Up,1881.0
Cross Creek Twp.,Township,1990,High School Graduates White Age 25 Up,21574.0
Hatteras Township,Township,1990,High School Graduates White Age 25 Up,1338.0
Hampton Township,Township,1990,High School Graduates White Age 25 Up,268.0
Farmington Township,Township,1990,High School Graduates White Age 25 Up,4367.0
River Bend,Municipality,2015,High School Graduates White Age 25 Up,2366.0
Brasstown Township,Township,1990,High School Graduates White Age 25 Up,513.0
Spring Lake,Municipality,2015,High School Graduates White Age 25 Up,2572.0
"Twp. 8, Cedar Rock",Township,1990,High School Graduates White Age 25 Up,562.0
BNA 9705,Tract,1990,High School Graduates White Age 25 Up,1076.0
Cataloochee Twp.,Township,1990,High School Graduates White Age 25 Up,41.0
Tract 18,Tract,1990,High School Graduates White Age 25 Up,3563.0
Tract 125.05,Tract,1990,High School Graduates White Age 25 Up,3071.0
Tract 126.01,Tract,1990,High School Graduates White Age 25 Up,2126.0
Tract 144.06,Tract,1990,High School Graduates White Age 25 Up,446.0
Tract 157.03,Tract,1990,High School Graduates White Age 25 Up,1984.0
Tract 712,Tract,1990,High School Graduates White Age 25 Up,2593.0
"Twp. 2, Pollocksville",Township,1990,High School Graduates White Age 25 Up,769.0
Varnamtown,Municipality,2000,High School Graduates White Age 25 Up,270.0
Tract 112,Tract,1990,High School Graduates White Age 25 Up,1718.0
Institute Township,Township,1990,High School Graduates White Age 25 Up,487.0
Drexel,Municipality,1980,High School Graduates White Age 25 Up,236.0
Ironton Township,Township,1990,High School Graduates White Age 25 Up,5351.0
Bandana Township,Township,1990,High School Graduates White Age 25 Up,137.0
"Twp. 13, Morning St.",Township,1990,High School Graduates White Age 25 Up,8444.0
Apex,Municipality,2010,High School Graduates White Age 25 Up,16151.0
Arapahoe,Municipality,2010,High School Graduates White Age 25 Up,276.0
Mesic,Municipality,1990,High School Graduates White Age 25 Up,56.0
BNA 9506,Tract,1990,High School Graduates White Age 25 Up,2504.0
Tract 25.01,Tract,1990,High School Graduates White Age 25 Up,2185.0
Ronda,Municipality,2010,High School Graduates White Age 25 Up,146.0
Tract 33.03,Tract,1990,High School Graduates White Age 25 Up,4013.0
Tract 35,Tract,1990,High School Graduates White Age 25 Up,857.0
Wilkesboro,Municipality,2010,High School Graduates White Age 25 Up,1574.0
Burgaw,Municipality,2000,High School Graduates White Age 25 Up,944.0
